study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	library_selection	base_count	experiment_alias	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias
PRJEB31147	SAMEA5751960	ERS3555420	ERX3439349	ERR3415821	ERA2030152	3702	Arabidopsis thaliana	size fractionation	5125745528	ena-EXPERIMENT-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:921-5	ena-RUN-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:921-5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3415821/ERR3415821_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415821/E_0245_1_A01.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415821/E_0245_1_A01.bam.bai		Cvi-0
PRJEB31147	SAMEA5751960	ERS3555420	ERX3439350	ERR3415822	ERA2030152	3702	Arabidopsis thaliana	size fractionation	4560016405	ena-EXPERIMENT-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:921-6	ena-RUN-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:921-6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3415822/ERR3415822_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415822/E_0247_4_A01.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415822/E_0247_4_A01.bam.bai		Cvi-0
PRJEB31147	SAMEA5751961	ERS3555421	ERX3439351	ERR3415823	ERA2030152	3702	Arabidopsis thaliana	size fractionation	4524535720	ena-EXPERIMENT-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:921-7	ena-RUN-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:922-7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3415823/ERR3415823_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415823/G_0245_3_C01.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415823/G_0245_3_C01.bam.bai		Eri
PRJEB31147	SAMEA5751963	ERS3555423	ERX3439353	ERR3415825	ERA2030152	3702	Arabidopsis thaliana	size fractionation	3716160304	ena-EXPERIMENT-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:922-9	ena-RUN-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:922-9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3415825/ERR3415825_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415825/I_0250_3_C01.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415825/I_0250_3_C01.bam.bai		Ler
PRJEB31147	SAMEA5751963	ERS3555423	ERX3439354	ERR3415826	ERA2030152	3702	Arabidopsis thaliana	size fractionation	4558825921	ena-EXPERIMENT-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:922-10	ena-RUN-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:922-10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3415826/ERR3415826_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415826/I_0251_3_C01.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415826/I_0251_3_C01.bam.bai		Ler
PRJEB31147	SAMEA5751962	ERS3555422	ERX3439355	ERR3415827	ERA2030152	3702	Arabidopsis thaliana	size fractionation	1946925796	ena-EXPERIMENT-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:922-11	ena-RUN-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:922-11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3415827/ERR3415827_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415827/D_0244_1_A01.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415827/D_0244_1_A01.bam.bai		Kyo
PRJEB31147	SAMEA5751961	ERS3555421	ERX3619784	ERR3624573	ERA2191234	3702	Arabidopsis thaliana	RANDOM	7572904654	ena-EXPERIMENT-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-28-10-2019-14:18:05:890-1	ena-RUN-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-28-10-2019-14:18:05:890-1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR362/003/ERR3624573/ERR3624573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR362/003/ERR3624573/ERR3624573_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR362/ERR3624573/Eri.illumina.reads_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR362/ERR3624573/Eri.illumina.reads_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR362/003/ERR3624573	Eri
PRJEB31147	SAMEA5751958	ERS3555418	ERX3619790	ERR3624579	ERA2191234	3702	Arabidopsis thaliana	RANDOM	10586509324	ena-EXPERIMENT-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-28-10-2019-14:18:05:891-7	ena-RUN-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-28-10-2019-14:18:05:891-7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR362/009/ERR3624579/ERR3624579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR362/009/ERR3624579/ERR3624579_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR362/ERR3624579/An-1.illumina.reads_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR362/ERR3624579/An-1.illumina.reads_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR362/009/ERR3624579	An-1
PRJEB31147	SAMEA5751958	ERS3555418	ERX3439346	ERR3415818	ERA2030152	3702	Arabidopsis thaliana	size fractionation	4774095100	ena-EXPERIMENT-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:921-2	ena-RUN-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:921-2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3415818/ERR3415818_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415818/H_0247_4_D01.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415818/H_0247_4_D01.bam.bai		An-1
PRJEB31147	SAMEA5751959	ERS3555419	ERX3439347	ERR3415819	ERA2030152	3702	Arabidopsis thaliana	size fractionation	1990055297	ena-EXPERIMENT-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:921-3	ena-RUN-MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH-05-07-2019-08:44:18:921-3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3415819/ERR3415819_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415819/J_0250_4_D01.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR341/ERR3415819/J_0250_4_D01.bam.bai		C24
